gota_n,caudal_ml_s,intervalo_seg
65,6.038,0.1000
70,6.038,18.0640
75,6.038,4.5012
80,6.038,0.1000
5,6.141,0.1000
10,6.141,18.2687
15,6.141,4.4196
20,6.141,0.1000
25,6.141,18.2588
30,6.141,4.4078
35,6.141,0.1000
40,6.141,18.2663
45,6.141,4.3927
50,6.141,0.1000
55,6.141,18.2457
60,6.141,4.3980
65,6.141,0.1000
70,6.141,18.2882
75,6.141,4.3929
80,6.141,0.1000
5,6.244,0.1000
10,6.244,18.4617
15,6.244,4.3018
20,6.244,0.1000
25,6.244,18.4602
30,6.244,4.3115
35,6.244,0.1000
40,6.244,18.4584
45,6.244,4.3210
50,6.244,0.1000
55,6.244,18.4723
60,6.244,4.3053
65,6.244,0.1000
70,6.244,18.4598
75,6.244,4.3189
80,6.244,0.1000
5,6.346,0.1000
10,6.346,18.6481
15,6.346,4.2214
20,6.346,0.1000
25,6.346,18.6476
30,6.346,4.2075
35,6.346,0.1000
40,6.346,18.6485
45,6.346,4.2220
50,6.346,0.1000
55,6.346,18.6584
60,6.346,4.2482
65,6.346,0.1000
70,6.346,18.6623
75,6.346,4.2382
80,6.346,0.1000
5,6.449,0.1000
10,6.449,18.8536
15,6.449,4.1291
20,6.449,0.1000
25,6.449,18.8163
30,6.449,4.1437
35,6.449,0.1000
40,6.449,18.8362
45,6.449,4.1213
50,6.449,0.1000
55,6.449,18.8239
60,6.449,4.1409
65,6.449,0.1000
70,6.449,18.8170
75,6.449,4.1302
80,6.449,0.1000
5,6.551,0.1000
10,6.551,19.0001
15,6.551,4.0403
20,6.551,0.1000
25,6.551,18.9879
30,6.551,4.0522
35,6.551,0.1000
40,6.551,18.9764
45,6.551,4.0559
50,6.551,0.1000
55,6.551,18.9955
60,6.551,4.0527
65,6.551,0.1000
70,6.551,18.9985
75,6.551,4.0699
80,6.551,0.1000
5,6.654,0.1000
10,6.654,19.1438
15,6.654,3.9685
20,6.654,0.1000
25,6.654,19.1507
30,6.654,3.9819
35,6.654,0.1000
40,6.654,19.1438
45,6.654,3.9581
50,6.654,0.1000
55,6.654,19.1299
60,6.654,3.9598
65,6.654,0.1000
70,6.654,19.1548
75,6.654,3.9675
80,6.654,0.1000
5,6.756,0.1000
10,6.756,19.2738
15,6.756,3.8826
20,6.756,0.1000
25,6.756,19.2629
30,6.756,3.8783
35,6.756,0.1000
40,6.756,19.2726
45,6.756,3.8907
50,6.756,0.1000
55,6.756,19.2702
60,6.756,3.8688
65,6.756,0.1000
70,6.756,19.2861
75,6.756,3.8918
80,6.756,0.1000
5,6.859,0.1000
10,6.859,19.4204
15,6.859,3.7846
20,6.859,0.1000
25,6.859,19.4098
30,6.859,3.8106
35,6.859,0.1000
40,6.859,19.4191
45,6.859,3.7936
50,6.859,0.1000
55,6.859,19.3977
60,6.859,3.7688
65,6.859,0.1000
70,6.859,19.3964
75,6.859,3.7895
80,6.859,0.1000
5,6.962,0.1000
10,6.962,19.5166
15,6.962,3.7123
20,6.962,0.1000
25,6.962,19.4994
30,6.962,3.7202
35,6.962,0.1000
40,6.962,19.4899
45,6.962,3.7141
50,6.962,0.1000
55,6.962,19.5129
60,6.962,3.7136
65,6.962,0.1000
70,6.962,19.4999
75,6.962,3.7149
80,6.962,0.1000
5,7.064,0.1000
10,7.064,19.5949
15,7.064,3.6263
20,7.064,0.1000
25,7.064,19.5900
30,7.064,3.6091
35,7.064,0.1000
40,7.064,19.5658
45,7.064,3.6353
50,7.064,0.1000
55,7.064,19.5992
60,7.064,3.6235
65,7.064,0.1000
70,7.064,19.5912
75,7.064,3.6337
80,7.064,0.1000
5,7.167,0.1000
10,7.167,19.6891
15,7.167,3.5258
20,7.167,0.1000
25,7.167,19.6749
30,7.167,3.5644
35,7.167,0.1000
40,7.167,19.6798
45,7.167,3.5334
50,7.167,0.1000
55,7.167,19.6422
60,7.167,3.5427
65,7.167,0.1000
70,7.167,19.6613
75,7.167,3.5417
80,7.167,0.1000
5,7.269,0.1000
10,7.269,19.7075
15,7.269,3.4564
20,7.269,0.1000
25,7.269,19.7015
30,7.269,3.4517
35,7.269,0.1000
40,7.269,19.7102
45,7.269,3.4598
50,7.269,0.1000
55,7.269,19.7332
60,7.269,3.4347
65,7.269,0.1000
70,7.269,19.7016
75,7.269,3.4584
80,7.269,0.1000
5,7.372,0.1000
10,7.372,19.7729
15,7.372,3.3522
20,7.372,0.1000
25,7.372,19.7736
30,7.372,3.3649
35,7.372,0.1000
40,7.372,19.7328
45,7.372,3.3771
50,7.372,0.1000
55,7.372,19.7548
60,7.372,3.3637
65,7.372,0.1000
70,7.372,19.7458
75,7.372,3.3632
80,7.372,0.1000
5,7.474,0.1000
10,7.474,19.7580
15,7.474,3.2650
20,7.474,0.1000
25,7.474,19.7964
30,7.474,3.2924
35,7.474,0.1000
40,7.474,19.7757
45,7.474,3.2743
50,7.474,0.1000
55,7.474,19.7472
60,7.474,3.2603
65,7.474,0.1000
70,7.474,19.7473
75,7.474,3.2655
80,7.474,0.1000
5,7.577,0.1000
10,7.577,19.7255
15,7.577,3.1954
20,7.577,0.1000
25,7.577,19.7285
30,7.577,3.2041
35,7.577,0.1000
40,7.577,19.7648
45,7.577,3.2072
50,7.577,0.1000
55,7.577,19.7473
60,7.577,3.1978
65,7.577,0.1000
70,7.577,19.7755
75,7.577,3.2027
80,7.577,0.1000
5,7.679,0.1000
10,7.679,19.7345
15,7.679,3.1189
20,7.679,0.1000
25,7.679,19.7276
30,7.679,3.1203
35,7.679,0.1000
40,7.679,19.7223
45,7.679,3.1052
50,7.679,0.1000
55,7.679,19.7129
60,7.679,3.1043
65,7.679,0.1000
70,7.679,19.6876
75,7.679,3.1218
80,7.679,0.1000
5,7.782,0.1000
10,7.782,19.6967
15,7.782,3.0297
20,7.782,0.1000
25,7.782,19.6877
30,7.782,3.0253
35,7.782,0.1000
40,7.782,19.7130
45,7.782,3.0282
50,7.782,0.1000
55,7.782,19.6668
60,7.782,3.0481
65,7.782,0.1000
70,7.782,19.6878
75,7.782,3.0412
80,7.782,0.1000
5,7.885,0.1000
10,7.885,19.6329
15,7.885,2.9553
20,7.885,0.1000
25,7.885,19.6470
30,7.885,2.9419
35,7.885,0.1000
40,7.885,19.5846
45,7.885,2.9495
50,7.885,0.1000
55,7.885,19.6162
60,7.885,2.9284
65,7.885,0.1000
70,7.885,19.5882
75,7.885,2.9518
80,7.885,0.1000
5,7.987,0.1000
10,7.987,19.4857
15,7.987,2.8675
20,7.987,0.1000
25,7.987,19.5325
30,7.987,2.8784
35,7.987,0.1000
40,7.987,19.5350
45,7.987,2.8767
50,7.987,0.1000
55,7.987,19.5240
60,7.987,2.8541
65,7.987,0.1000
70,7.987,19.5182
75,7.987,2.8680
80,7.987,0.1000
5,8.090,0.1000
10,8.090,19.4587
15,8.090,2.7706
20,8.090,0.1000
25,8.090,19.4023
30,8.090,2.7590
35,8.090,0.1000
40,8.090,19.4151
45,8.090,2.7617
50,8.090,0.1000
55,8.090,19.4361
60,8.090,2.7586
65,8.090,0.1000
70,8.090,19.3686
75,8.090,2.7585
80,8.090,0.1000
5,8.192,0.1000
10,8.192,19.3391
15,8.192,2.6829
20,8.192,0.1000
25,8.192,19.2337
30,8.192,2.7008
35,8.192,0.1000
40,8.192,19.2187
45,8.192,2.6880
50,8.192,0.1000
55,8.192,19.2951
60,8.192,2.6752
65,8.192,0.1000
70,8.192,19.2695
75,8.192,2.6927
80,8.192,0.1000
5,8.295,0.1000
10,8.295,19.1372
15,8.295,2.6037
20,8.295,0.1000
25,8.295,19.0640
30,8.295,2.6033
35,8.295,0.1000
40,8.295,19.0861
45,8.295,2.6179
50,8.295,0.1000
55,8.295,19.1321
60,8.295,2.5900
65,8.295,0.1000
70,8.295,19.1154
75,8.295,2.5936
80,8.295,0.1000
5,8.397,0.1000
10,8.397,18.8694
15,8.397,2.5189
20,8.397,0.1000
25,8.397,18.9176
30,8.397,2.5199
35,8.397,0.1000
40,8.397,18.9146
45,8.397,2.5328
50,8.397,0.1000
55,8.397,18.9047
60,8.397,2.5134
65,8.397,0.1000
70,8.397,18.9788
75,8.397,2.5288
80,8.397,0.1000
5,8.500,0.1000
